# CPU: 12th Gen Intel(R) Core(TM) i5-12600KF
# CPU Frequency: 3.69 GHz
# Compiler: Clang 19.1.5
# 
kernel,implementation,data_type,array_size,aligned,stride,time_seconds,gflops,cpe,bandwidth_gbs,speedup,run_id,compiler_flags
stencil_3point,scalar,f32,262144,0,1,0.000034931,9836459.991,0.491,90.055,0.000,163,avx2
memory_bandwidth,scalar,f32,262144,0,1,0.000034420,1996498.443,0.484,60.928,0.000,164,avx2
axpy,vectorized,f32,262144,0,1,0.000041792,3288642.660,0.588,75.271,1.019,165,avx2
dot_product,vectorized,f32,262144,0,1,0.000028016,4905730.778,0.394,74.856,0.874,166,avx2
elementwise_multiply,vectorized,f32,262144,0,1,0.000048954,1403756.114,0.688,64.259,0.983,167,avx2
stencil_3point,vectorized,f32,262144,0,1,0.000035445,9693818.183,0.498,88.750,0.985,168,avx2
memory_bandwidth,vectorized,f32,262144,0,1,0.000039242,1751171.612,0.552,53.442,0.877,169,avx2
axpy,scalar,f32,262144,1,1,0.000040552,3389202.838,0.570,77.573,0.000,170,avx2
dot_product,scalar,f32,262144,1,1,0.000023993,5728293.763,0.337,87.407,0.000,171,avx2
elementwise_multiply,scalar,f32,262144,1,1,0.000046492,1478092.511,0.654,67.662,0.000,172,avx2
stencil_3point,scalar,f32,262144,1,1,0.000036221,9486137.451,0.509,86.848,0.000,173,avx2
memory_bandwidth,scalar,f32,262144,1,1,0.000034401,1997601.137,0.484,60.962,0.000,174,avx2
axpy,vectorized,f32,262144,1,1,0.000040433,3399177.741,0.569,77.801,1.003,175,avx2
dot_product,vectorized,f32,262144,1,1,0.000030740,4471013.440,0.432,68.222,0.781,176,avx2
elementwise_multiply,vectorized,f32,262144,1,1,0.000045997,1493999.099,0.647,68.390,1.011,177,avx2
stencil_3point,vectorized,f32,262144,1,1,0.000036724,9356208.043,0.516,85.659,0.986,178,avx2
memory_bandwidth,vectorized,f32,262144,1,1,0.000033678,2040485.678,0.474,62.271,1.021,179,avx2
axpy,scalar,f64,262144,0,1,0.000081892,1678295.233,1.151,76.826,0.000,180,avx2
dot_product,scalar,f64,262144,0,1,0.000049911,2753680.624,0.702,84.036,0.000,181,avx2
elementwise_multiply,scalar,f64,262144,0,1,0.000103268,665447.929,1.452,60.924,0.000,182,avx2
