# CPU: 12th Gen Intel(R) Core(TM) i5-12600KF
# CPU Frequency: 3.69 GHz
# Compiler: Clang 19.1.5
# 
kernel,implementation,data_type,array_size,aligned,stride,time_seconds,gflops,cpe,bandwidth_gbs,speedup,run_id,compiler_flags
stencil_3point,vectorized,f64,16384,0,1,0.000002610,514244.210,0.587,150.657,0.964,108,vectorized
memory_bandwidth,vectorized,f64,16384,0,1,0.000002432,110376.426,0.547,107.789,1.000,109,vectorized
axpy,scalar,f64,16384,1,1,0.000001927,278604.546,0.434,204.056,0.000,110,vectorized
dot_product,scalar,f64,16384,1,1,0.000001729,310509.480,0.389,151.616,0.000,111,vectorized
elementwise_multiply,scalar,f64,16384,1,1,0.000002320,115704.942,0.522,169.490,0.000,112,vectorized
stencil_3point,scalar,f64,16384,1,1,0.000002525,531555.355,0.568,155.729,0.000,113,vectorized
memory_bandwidth,scalar,f64,16384,1,1,0.000002078,129179.712,0.467,126.152,0.000,114,vectorized
axpy,vectorized,f64,16384,1,1,0.000001926,278749.201,0.433,204.162,1.001,115,vectorized
dot_product,vectorized,f64,16384,1,1,0.000001729,310509.480,0.389,151.616,1.000,116,vectorized
elementwise_multiply,vectorized,f64,16384,1,1,0.000002318,115804.775,0.521,169.636,1.001,117,vectorized
stencil_3point,vectorized,f64,16384,1,1,0.000002537,529041.142,0.571,154.993,0.995,118,vectorized
memory_bandwidth,vectorized,f64,16384,1,1,0.000002096,128070.354,0.472,125.069,0.991,119,vectorized
axpy,scalar,f32,65536,0,1,0.000004649,1847695.158,0.261,169.162,0.000,120,vectorized
dot_product,scalar,f32,65536,0,1,0.000003841,2236379.829,0.216,136.498,0.000,121,vectorized
elementwise_multiply,scalar,f32,65536,0,1,0.000005894,728701.604,0.332,133.429,0.000,122,vectorized
stencil_3point,scalar,f32,65536,0,1,0.000005549,3870037.174,0.312,141.725,0.000,123,vectorized
memory_bandwidth,scalar,f32,65536,0,1,0.000004697,914406.442,0.264,111.622,0.000,124,vectorized
axpy,vectorized,f32,65536,0,1,0.000004644,1849684.509,0.261,169.344,1.001,125,vectorized
dot_product,vectorized,f32,65536,0,1,0.000003759,2285164.767,0.211,139.475,1.022,126,vectorized
elementwise_multiply,vectorized,f32,65536,0,1,0.000006022,713212.750,0.339,130.593,0.979,127,vectorized
stencil_3point,vectorized,f32,65536,0,1,0.000004710,4559413.201,0.265,166.971,1.178,128,vectorized
memory_bandwidth,vectorized,f32,65536,0,1,0.000004736,906876.546,0.266,110.703,0.992,129,vectorized
axpy,scalar,f32,65536,1,1,0.000003998,2148557.989,0.225,196.706,0.000,130,vectorized
dot_product,scalar,f32,65536,1,1,0.000003871,2219047.898,0.218,135.440,0.000,131,vectorized
