=== Cache Miss Impact Tests ===
Size: 4194304B, Stride: 8, Random: No, Time: 523500 ns, Perf: 2.50376e+08 ops/s
Size: 4194304B, Stride: 8, Random: Yes, Time: 2.8487e+06 ns, Perf: 4.60112e+07 ops/s
Size: 4194304B, Stride: 16, Random: No, Time: 774800 ns, Perf: 8.45844e+07 ops/s
Size: 4194304B, Stride: 16, Random: Yes, Time: 785500 ns, Perf: 8.34322e+07 ops/s
Size: 4194304B, Stride: 32, Random: No, Time: 694000 ns, Perf: 4.72161e+07 ops/s
Size: 4194304B, Stride: 32, Random: Yes, Time: 478600 ns, Perf: 6.84664e+07 ops/s
Size: 4194304B, Stride: 64, Random: No, Time: 529100 ns, Perf: 3.09658e+07 ops/s
Size: 4194304B, Stride: 64, Random: Yes, Time: 243000 ns, Perf: 6.74239e+07 ops/s
Size: 16777216B, Stride: 1, Random: No, Time: 1.9072e+06 ns, Perf: 2.19919e+09 ops/s
Size: 16777216B, Stride: 1, Random: Yes, Time: 4.24593e+07 ns, Perf: 9.87841e+07 ops/s
Size: 16777216B, Stride: 2, Random: No, Time: 1.9095e+06 ns, Perf: 1.09827e+09 ops/s
Size: 16777216B, Stride: 2, Random: Yes, Time: 2.7593e+07 ns, Perf: 7.6003e+07 ops/s
Size: 16777216B, Stride: 4, Random: No, Time: 1.9658e+06 ns, Perf: 5.33409e+08 ops/s
Size: 16777216B, Stride: 4, Random: Yes, Time: 1.16639e+07 ns, Perf: 8.98993e+07 ops/s
Size: 16777216B, Stride: 8, Random: No, Time: 1.8788e+06 ns, Perf: 2.79055e+08 ops/s
Size: 16777216B, Stride: 8, Random: Yes, Time: 6.9498e+06 ns, Perf: 7.54393e+07 ops/s
Size: 16777216B, Stride: 16, Random: No, Time: 1.8809e+06 ns, Perf: 1.39372e+08 ops/s
Size: 16777216B, Stride: 16, Random: Yes, Time: 4.2472e+06 ns, Perf: 6.17216e+07 ops/s
Size: 16777216B, Stride: 32, Random: No, Time: 1.5e+06 ns, Perf: 8.73813e+07 ops/s
Size: 16777216B, Stride: 32, Random: Yes, Time: 2.294e+06 ns, Perf: 5.71369e+07 ops/s
Size: 16777216B, Stride: 64, Random: No, Time: 837500 ns, Perf: 7.82519e+07 ops/s
Size: 16777216B, Stride: 64, Random: Yes, Time: 1.2061e+06 ns, Perf: 5.43371e+07 ops/s

=== TLB Impact Tests ===
Size: 4096B, Huge Pages: No, Time: 600 ns, Perf: 1.70667e+09 ops/s
